experiment,arm,payload_regime,channel_family,condition,trials,capacity_success_rate,geometry_success_rate,exact_recover_rate,robust_recover_rate,decoder_wrong_output_rate,authenticated_false_acceptance_rate,substitution_replay,structure_recovery_rate,data_recovery_rate,diagnostic_accuracy_mean,localization_ms_mean,symbol_decode_ms_mean,ecc_ms_mean,authentication_ms_mean,total_decode_ms_mean
equal_area,aztec,small,jpeg,jpeg_q80,3,1.0,1.0,0.0,1.0,0.0,0.0,n/a,1.0,1.0,,6.894399994052947,2.801500018298005,0.0,0.14183333648058274,10.60513332292127
equal_area,aztec,small,jpeg,jpeg_q95,3,1.0,1.0,0.0,1.0,0.0,0.0,n/a,1.0,1.0,,7.910333331286286,2.957666671136394,0.0,0.1491999913317462,11.760166661891466
equal_area,aztec,small,photo_recompress,photo_a0_bright_q50,3,1.0,1.0,0.0,1.0,0.0,0.0,n/a,1.0,1.0,,7.571333320811391,3.4574666642583907,0.0,0.1510666722121338,11.996566676922763
equal_area,aztec,small,photo_recompress,photo_a0_dark_q50,3,1.0,1.0,0.0,1.0,0.0,0.0,n/a,1.0,1.0,,7.079733331920579,4.286000000623365,0.0,0.16930000856518745,12.288000007780889
equal_area,aztec,small,photo_recompress,photo_a0_normal_q50,3,1.0,1.0,0.0,1.0,0.0,0.0,n/a,1.0,1.0,,6.701433322935675,3.3544333321818463,0.0,0.17236665977785984,10.943533338528747
equal_area,aztec,small,photo_recompress,photo_a15_bright_q50,3,1.0,1.0,0.0,1.0,0.0,0.0,n/a,1.0,1.0,,7.173366660329823,3.5295333267034343,0.0,0.16270000681591532,11.662300006719306
equal_area,aztec,small,photo_recompress,photo_a15_dark_q50,3,1.0,1.0,0.0,1.0,0.0,0.0,n/a,1.0,1.0,,6.919399990389745,3.798833340018367,0.0,0.16603333642706275,11.572566669201478
equal_area,aztec,small,photo_recompress,photo_a15_normal_q50,3,1.0,1.0,0.0,1.0,0.0,0.0,n/a,1.0,1.0,,7.070966676110402,3.227300000920271,0.0,0.14653334316487113,11.186133342562243
equal_area,aztec,small,photo_recompress,photo_a30_bright_q50,3,1.0,1.0,0.0,1.0,0.0,0.0,n/a,1.0,1.0,,7.054033320552359,2.910399993803973,0.0,0.1380666702364882,10.82903333978417
equal_area,aztec,small,photo_recompress,photo_a30_dark_q50,3,1.0,1.0,0.0,1.0,0.0,0.0,n/a,1.0,1.0,,6.942533334949985,3.5263999986151853,0.0,0.1367333170492202,11.35299998956422
