experiment,arm,payload_regime,payload_bytes,envelope_bytes,channel_family,condition,repetition,seed,capacity_ok,geometry_ok,build_error,native_ecc,protected_redundancy_ratio,logical_width_modules,logical_height_modules,module_px,min_module_mm,allocated_area_mm2,symbol_area_mm2,effective_capacity_bytes_per_mm2,capture_width_px,capture_height_px,decode_budget_ms,structure_data_independent,exact_recover,robust_recover,decoder_wrong_output,authenticated_false_acceptance,substitution_replay,structure_recovered,data_recovered,diagnostic_accuracy,localization_ms,symbol_decode_ms,ecc_ms,authentication_ms,total_decode_ms,decode_within_budget,output_bytes,notes
equal_area,qr_L,small,512,584,photo_recompress,photo_a0_normal_q50,0,13704822274231889270,1,1,,QR-L (decoder reports L),nan,105,105,11,1.375,22500.0,22500.0,0.022755555555555557,1600,1600,2000.0,0,0,1,0,0,n/a,1,1,,10.100899991812184,2.107000007526949,0.0,0.27570000384002924,13.510999997379258,1,584,
equal_area,qr_L,small,512,584,photo_recompress,photo_a0_normal_q50,1,1844170134240664758,1,1,,QR-L (decoder reports L),nan,105,105,11,1.375,22500.0,22500.0,0.022755555555555557,1600,1600,2000.0,0,0,1,0,0,n/a,1,1,,6.24200000311248,1.078999979654327,0.0,0.1336999994236976,8.08080000570044,1,584,
equal_area,qr_L,small,512,584,photo_recompress,photo_a0_normal_q50,2,13522161796651272025,1,1,,QR-L (decoder reports L),nan,105,105,11,1.375,22500.0,22500.0,0.022755555555555557,1600,1600,2000.0,0,0,1,0,0,n/a,1,1,,6.683099985821173,1.1587000044528395,0.0,0.1346999779343605,8.694799995282665,1,584,
equal_area,qr_L,small,512,584,photo_recompress,photo_a0_bright_q50,0,11139426724075532207,1,1,,QR-L (decoder reports L),nan,105,105,11,1.375,22500.0,22500.0,0.022755555555555557,1600,1600,2000.0,0,0,1,0,0,n/a,1,1,,6.256499997107312,1.555399998323992,0.0,0.2272999845445156,8.731799985980615,1,584,
equal_area,qr_L,small,512,584,photo_recompress,photo_a0_bright_q50,1,4376923380523699319,1,1,,QR-L (decoder reports L),nan,105,105,11,1.375,22500.0,22500.0,0.022755555555555557,1600,1600,2000.0,0,0,1,0,0,n/a,1,1,,6.2833999982103705,1.1511000047903508,0.0,0.13770000077784061,8.333299978403375,1,584,
equal_area,qr_L,small,512,584,photo_recompress,photo_a0_bright_q50,2,2947838605310844722,1,1,,QR-L (decoder reports L),nan,105,105,11,1.375,22500.0,22500.0,0.022755555555555557,1600,1600,2000.0,0,0,1,0,0,n/a,1,1,,8.164800005033612,1.6716999816708267,0.0,0.25209999876096845,10.843600000953302,1,584,
equal_area,qr_L,small,512,584,photo_recompress,photo_a15_dark_q50,0,13342671163834163011,1,1,,QR-L (decoder reports L),nan,105,105,11,1.375,22500.0,22500.0,0.022755555555555557,1600,1600,2000.0,0,0,1,0,0,n/a,1,1,,6.8444000207819045,1.5459000132977962,0.0,0.2212999970652163,9.347000013804063,1,584,
equal_area,qr_L,small,512,584,photo_recompress,photo_a15_dark_q50,1,9983384210094817301,1,1,,QR-L (decoder reports L),nan,105,105,11,1.375,22500.0,22500.0,0.022755555555555557,1600,1600,2000.0,0,0,1,0,0,n/a,1,1,,6.506299978354946,1.40310000278987,0.0,0.16190001042559743,8.86739999987185,1,584,
equal_area,qr_L,small,512,584,photo_recompress,photo_a15_dark_q50,2,6543033113852442733,1,1,,QR-L (decoder reports L),nan,105,105,11,1.375,22500.0,22500.0,0.022755555555555557,1600,1600,2000.0,0,0,1,0,0,n/a,1,1,,6.771600019419566,1.7029000155162066,0.0,0.22759998682886362,9.47929997346364,1,584,
equal_area,qr_L,small,512,584,photo_recompress,photo_a15_normal_q50,0,529422198305777823,1,1,,QR-L (decoder reports L),nan,105,105,11,1.375,22500.0,22500.0,0.022755555555555557,1600,1600,2000.0,0,0,1,0,0,n/a,1,1,,6.907000002684072,1.33200001437217,0.0,0.23589999182149768,9.241099993232638,1,584,
